month,day,year,time,actual,forecast,previous,datetime
May,6,2020, 17:30,4.59,7.759,8.991,2020-05-06 17:30:00
Apr,29,2020, 17:30,8.991,10.619,15.022,2020-04-29 17:30:00
Apr,22,2020, 17:30,15.022,15.15,19.248,2020-04-22 17:30:00
Apr,15,2020, 17:30,19.248,11.676,15.177,2020-04-15 17:30:00
Apr,8,2020, 17:30,15.177,9.271,13.834,2020-04-08 17:30:00
Apr,1,2020, 17:30,13.834,3.997,1.623,2020-04-01 17:30:00
Mar,25,2020, 17:30,1.623,2.774,1.954,2020-03-25 17:30:00
Mar,18,2020, 17:30,1.954,3.256,7.664,2020-03-18 17:30:00
Mar,11,2020, 17:30,7.664,2.266,0.785,2020-03-11 17:30:00
Mar,4,2020, 18:30,0.785,2.644,0.452,2020-03-04 18:30:00
Feb,26,2020, 18:30,0.452,2.005,0.414,2020-02-26 18:30:00
Feb,20,2020, 19:00,0.414,2.494,7.459,2020-02-20 19:00:00
Feb,12,2020, 18:30,7.459,2.987,3.355,2020-02-12 18:30:00
Feb,5,2020, 18:30,3.355,2.831,3.548,2020-02-05 18:30:00
Jan,29,2020, 18:30,3.548,0.482,-0.405,2020-01-29 18:30:00
Jan,23,2020, 19:00,-0.405,-1.009,-2.549,2020-01-23 19:00:00
Jan,15,2020, 18:30,-2.549,-0.474,1.164,2020-01-15 18:30:00
Jan,8,2020, 18:30,1.164,-3.572,-11.463,2020-01-08 18:30:00
Jan,3,2020, 19:00,-11.463,-3.288,-5.474,2020-01-03 19:00:00
Dec,27,2019, 19:00,-5.474,-1.724,-1.085,2019-12-27 19:00:00
Dec,18,2019, 18:30,-1.085,-1.288,0.822,2019-12-18 18:30:00
Dec,11,2019, 18:30,0.822,-2.763,-4.856,2019-12-11 18:30:00
Dec,4,2019, 18:30,-4.856,-1.734,1.572,2019-12-04 18:30:00
Nov,27,2019, 18:30,1.572,-0.418,1.379,2019-11-27 18:30:00
Nov,20,2019, 18:30,1.379,1.543,2.219,2019-11-20 18:30:00
Nov,14,2019, 19:00,2.219,1.649,7.929,2019-11-14 19:00:00
Nov,6,2019, 18:30,7.929,1.515,5.702,2019-11-06 18:30:00
Oct,30,2019, 17:30,5.702,0.494,-1.699,2019-10-30 17:30:00
Oct,23,2019, 17:30,-1.699,2.232,9.281,2019-10-23 17:30:00
Oct,17,2019, 18:00,9.281,2.878,2.927,2019-10-17 18:00:00
