Year,01,02,03,04,05,06,07,08,09,10,11,12
1974,11.92700286377359,12.120937869688603,12.314872875603621,12.379517877575294,12.573452883490315,12.702742887433658,12.832032891377004,13.02596789729202,13.21990290320704,13.381515408136222,13.510805412079563,13.640095416022909
1975,13.704740417994584,13.834030421937927,13.898675423909602,13.963320425881273,14.060287928838783,14.18957793278213,14.383512938697143,14.415835439682978,14.51280294264049,14.609770445598,14.739060449541341,14.803705451513016
1976,14.836027952498853,14.900672954470522,14.932995455456362,14.997640457428036,15.126930461371376,15.223897964328886,15.3208654672864,15.417832970243905,15.48247797221558,15.579445475173086,15.611767976158921,15.676412978130596
1977,15.773380481088104,15.967315487003125,16.096605490946466,16.258217995875647,16.355185498833155,16.4844755027765,16.581443005734013,16.646088007705686,16.71073300967736,16.775378011649032,16.872345514606536,16.936990516578213
1978,17.066280520521556,17.1955705244649,17.357183029394083,17.518795534323264,17.71273054023828,17.938988047139134,18.100600552068315,18.197568055025826,18.359180559955004,18.55311556587002,18.650083068827534,18.747050571785042
1979,18.940985577700058,19.199565585586747,19.4258230924876,19.684403100374293,19.97530560924682,20.23388561713351,20.4924656250202,20.718723131921056,20.97730313980774,21.17123814572276,21.39749565262362,21.656075660510307
1980,22.011623171354504,22.367170682198704,22.75504069402874,23.045943202901267,23.304523210787956,23.595425719660483,23.595425719660483,23.789360725575502,24.015618232476356,24.27419824036304,24.5004557472639,24.759035755150588
1981,24.985293262051446,25.27619577092397,25.47013077683899,25.664065782754005,25.89032328965486,26.148903297541548,26.472128307399913,26.698385814300764,26.989288323173295,27.053933325144968,27.150900828102476,27.247868331059983
1982,27.344835834017488,27.441803336974996,27.409480835989164,27.538770839932514,27.829673348805034,28.217543360635073,28.379155865564254,28.443800867535924,28.508445869507597,28.605413372465105,28.540768370493435,28.411478366550085
1983,28.476123368521762,28.508445869507597,28.508445869507597,28.73470337640845,28.92863838232347,29.02560588528098,29.154895889224324,29.251863392181832,29.413475897111013,29.51044340006852,29.575088402040194,29.607410903026032
1984,29.80134590894105,29.962958413870233,30.027603415841902,30.189215920771083,30.286183423728595,30.383150926686103,30.51244093062945,30.64173093457279,30.803343439501973,30.90031094245948,30.90031094245948,30.90031094245948
1985,30.964955944431154,31.126568449360338,31.25585845330368,31.41747095823286,31.546760962176208,31.643728465133712,31.70837346710539,31.773018469077062,31.86998597203457,31.999275975977916,32.09624347893543,32.19321098189293
1986,32.29017848485044,32.19321098189293,32.03159847696375,31.966953474992078,32.06392097794959,32.25785598386461,32.25785598386461,32.32250098583628,32.48411349076546,32.516435991751294,32.548758492737136,32.58108099372296
1987,32.80733850062382,32.93662850456717,33.09824100949635,33.29217601541137,33.42146601935471,33.55075602329806,33.64772352625556,33.84165853217059,34.0355935380856,34.13256104104311,34.16488354202895,34.16488354202895
1988,34.26185104498646,34.35881854794396,34.52043105287315,34.71436605878816,34.84365606273151,35.00526856766069,35.166881072589874,35.328493577519055,35.58707358540574,35.716363589349086,35.74868609033493,35.8133310923066
1989,36.00726609822161,36.168878603150795,36.39513611005165,36.65371611793834,36.87997362483919,36.97694112779671,37.07390863075422,37.13855363272589,37.26784363666923,37.46177864258424,37.55874614554176,37.62339114751342
1990,38.0435836603293,38.23751866624432,38.46377617314517,38.52842117511685,38.62538867807435,38.85164618497521,39.01325868990439,39.40112870173442,39.75667621257862,40.01525622046531,40.11222372342282,40.11222372342282
1991,40.370803731309515,40.435448733281184,40.500093735252854,40.56473873722452,40.69402874116788,40.82331874511122,40.88796374708289,41.01725375102623,41.211188756941254,41.275833758912924,41.405123762856284,41.43744626384211
